t,x,y,z
2.160000000000000142e+00,-3.457211446118551024e-01,3.457211446118577114e-01,2.302449697932049122e-01
2.169999999999999929e+00,-3.465393060363987088e-01,3.465393060364015954e-01,2.260687019369729545e-01
2.180000000000000160e+00,-3.473013837257327707e-01,3.473013837257358238e-01,2.220426844210751649e-01
2.189999999999999947e+00,-3.480093155764726331e-01,3.480093155764758528e-01,2.181732867901197137e-01
2.200000000000000178e+00,-3.486650905046109195e-01,3.486650905046140281e-01,2.144666198039941740e-01
2.209999999999999964e+00,-3.492707321606211002e-01,3.492707321606243198e-01,2.109285150588118551e-01
2.220000000000000195e+00,-3.498282822854759111e-01,3.498282822854790752e-01,2.075645056032151270e-01
2.229999999999999982e+00,-3.503397838709033651e-01,3.503397838709066958e-01,2.043798076366110661e-01
2.240000000000000213e+00,-3.508072642945668229e-01,3.508072642945703756e-01,2.013793033663530130e-01
2.250000000000000000e+00,-3.512327186061204309e-01,3.512327186061240392e-01,1.985675250911561052e-01
2.260000000000000231e+00,-3.516180931431514556e-01,3.516180931431551748e-01,1.959486405689254140e-01
2.270000000000000018e+00,-3.519652696566283878e-01,3.519652696566319960e-01,1.935264397175398277e-01
2.280000000000000249e+00,-3.522760501236375519e-01,3.522760501236413266e-01,1.913043226889176440e-01
2.290000000000000036e+00,-3.525521424207127552e-01,3.525521424207165300e-01,1.892852893481988819e-01
2.300000000000000266e+00,-3.527951470240173193e-01,3.527951470240208720e-01,1.874719301827812989e-01
2.310000000000000053e+00,-3.530065448929726735e-01,3.530065448929760596e-01,1.858664186594150280e-01
2.319999999999999840e+00,-3.531876866817272864e-01,3.531876866817310057e-01,1.844705050418497805e-01
2.330000000000000071e+00,-3.533397834082464550e-01,3.533397834082500633e-01,1.832855116767122261e-01
2.339999999999999858e+00,-3.534638986939208083e-01,3.534638986939244720e-01,1.823123297515051866e-01
2.350000000000000089e+00,-3.535609426676634137e-01,3.535609426676672440e-01,1.815514175248519602e-01
2.359999999999999876e+00,-3.536316676077531085e-01,3.536316676077571608e-01,1.810028000268370518e-01
2.370000000000000107e+00,-3.536766653725014198e-01,3.536766653725053056e-01,1.806660702245436179e-01
2.379999999999999893e+00,-3.536963666474892132e-01,3.536963666474932100e-01,1.805403916457767877e-01
2.390000000000000124e+00,-3.536910420130878197e-01,3.536910420130919275e-01,1.806245024517477427e-01
2.399999999999999911e+00,-3.536608048115859604e-01,3.536608048115902347e-01,1.809167209469389193e-01
2.410000000000000142e+00,-3.536056157690007362e-01,3.536056157690048996e-01,1.814149525114527595e-01
2.419999999999999929e+00,-3.535252893029626198e-01,3.535252893029670607e-01,1.821166979377022987e-01
2.430000000000000160e+00,-3.534195014253899148e-01,3.534195014253941891e-01,1.830190631487861042e-01
2.439999999999999947e+00,-3.532877991274661067e-01,3.532877991274705476e-01,1.841187702709012053e-01
2.450000000000000178e+00,-3.531296111151157602e-01,3.531296111151202566e-01,1.854121700259871997e-01
2.459999999999999964e+00,-3.529442597460926145e-01,3.529442597460971109e-01,1.868952554037479619e-01
2.470000000000000195e+00,-3.527309740053480858e-01,3.527309740053527487e-01,1.885636765643166346e-01
2.479999999999999982e+00,-3.524889033437677011e-01,3.524889033437721975e-01,1.904127569145006305e-01
2.490000000000000213e+00,-3.522171321968466384e-01,3.522171321968512459e-01,1.924375102908487400e-01
2.500000000000000000e+00,-3.519146949946676539e-01,3.519146949946722058e-01,1.946326591740437928e-01
2.510000000000000231e+00,-3.515805914725219083e-01,3.515805914725266268e-01,1.969926538488304679e-01
2.520000000000000018e+00,-3.512138020928623483e-01,3.512138020928671223e-01,1.995116924149901438e-01
2.530000000000000249e+00,-3.508133033937090861e-01,3.508133033937137490e-01,2.021837415456098908e-01
2.540000000000000036e+00,-3.503780830860842577e-01,3.503780830860890871e-01,2.050025578810676652e-01
2.550000000000000266e+00,-3.499071547332215371e-01,3.499071547332262000e-01,2.079617099403314739e-01
2.560000000000000053e+00,-3.493995718568589925e-01,3.493995718568636000e-01,2.110546004252328856e-01
2.569999999999999840e+00,-3.488544413305489367e-01,3.488544413305537106e-01,2.142744887896189387e-01
2.580000000000000071e+00,-3.482709359361539914e-01,3.482709359361588763e-01,2.176145139427901054e-01
2.589999999999999858e+00,-3.476483059771536266e-01,3.476483059771584561e-01,2.210677169557698774e-01
2.600000000000000089e+00,-3.469858898605857611e-01,3.469858898605905906e-01,2.246270636406035304e-01
2.609999999999999876e+00,-3.462831235780051697e-01,3.462831235780100547e-01,2.282854668752411775e-01
2.620000000000000107e+00,-3.455395490342837994e-01,3.455395490342887399e-01,2.320358085516927571e-01
2.629999999999999893e+00,-3.447548211910974048e-01,3.447548211911024563e-01,2.358709610307893612e-01
2.640000000000000124e+00,-3.439287140091338291e-01,3.439287140091386585e-01,2.397838079948504952e-01
2.649999999999999911e+00,-3.430611251891876323e-01,3.430611251891927393e-01,2.437672645977415065e-01
2.660000000000000142e+00,-3.421520797270987124e-01,3.421520797271036529e-01,2.478142968216577313e-01
2.669999999999999929e+00,-3.412017323108356703e-01,3.412017323108408329e-01,2.519179399596561120e-01
2.680000000000000160e+00,-3.402103685997087124e-01,3.402103685997137084e-01,2.560713161540287830e-01
2.689999999999999947e+00,-3.391784054357699363e-01,3.391784054357749323e-01,2.602676509308649577e-01
2.700000000000000178e+00,-3.381063900458394222e-01,3.381063900458442517e-01,2.645002886818665910e-01
2.709999999999999964e+00,-3.369949982993292736e-01,3.369949982993342696e-01,2.687627070550155373e-01
2.720000000000000195e+00,-3.358450320922217736e-01,3.358450320922265475e-01,2.730485302255227786e-01
2.729999999999999982e+00,-3.346574159312944996e-01,3.346574159312993846e-01,2.773515410278486470e-01
2.740000000000000213e+00,-3.334331927950167085e-01,3.334331927950217600e-01,2.816656919388760838e-01
2.750000000000000000e+00,-3.321735193487510007e-01,3.321735193487561077e-01,2.859851149101280687e-01
2.760000000000000231e+00,-3.308796605919978595e-01,3.308796605920028555e-01,2.903041300544718650e-01
2.770000000000000018e+00,-3.295529840145791090e-01,3.295529840145838274e-01,2.946172531999937672e-01
2.780000000000000249e+00,-3.281949533370866479e-01,3.281949533370915328e-01,2.989192023295154654e-01
2.790000000000000036e+00,-3.268071219086356449e-01,3.268071219086404744e-01,3.032049029301868148e-01
2.800000000000000266e+00,-3.253911258322441102e-01,3.253911258322490507e-01,3.074694922819555254e-01
2.810000000000000053e+00,-3.239486768848096054e-01,3.239486768848144349e-01,3.117083227191813632e-01
