t,x,z
1.699999999999999956e+00,-3.567023914273234619e-01,4.535183533075002327e-01
1.701000000000000068e+00,-3.557272405217051237e-01,4.544974019823737610e-01
1.701999999999999957e+00,-3.547516424564349791e-01,4.554713212412140333e-01
1.703000000000000069e+00,-3.537756647078721395e-01,4.564400858270457606e-01
1.703999999999999959e+00,-3.527993748318000722e-01,4.574036711868308402e-01
1.705000000000000071e+00,-3.518228404543963794e-01,4.583620534682624204e-01
1.705999999999999961e+00,-3.508461292632567563e-01,4.593152095164448334e-01
1.707000000000000073e+00,-3.498693089984743487e-01,4.602631168704552356e-01
1.707999999999999963e+00,-3.488924474437601342e-01,4.612057537597958889e-01
1.709000000000000075e+00,-3.479156124176205345e-01,4.621430991007254852e-01
1.709999999999999964e+00,-3.469388717646056386e-01,4.630751324924921031e-01
1.711000000000000076e+00,-3.459622933465823502e-01,4.640018342134407114e-01
1.711999999999999966e+00,-3.449859450341026257e-01,4.649231852170283563e-01
1.713000000000000078e+00,-3.440098946977949157e-01,4.658391671277202217e-01
1.713999999999999968e+00,-3.430342101998464788e-01,4.667497622367885457e-01
1.715000000000000080e+00,-3.420589593855292709e-01,4.676549534980081191e-01
1.715999999999999970e+00,-3.410842100747989436e-01,4.685547245232486446e-01
1.717000000000000082e+00,-3.401100300539485755e-01,4.694490595779644004e-01
1.717999999999999972e+00,-3.391364870673415632e-01,4.703379435765933092e-01
1.719000000000000083e+00,-3.381636488091977477e-01,4.712213620778545886e-01
1.719999999999999973e+00,-3.371915829154558675e-01,4.720993012799495347e-01
1.721000000000000085e+00,-3.362203569557113969e-01,4.729717480156845344e-01
1.721999999999999975e+00,-3.352500384252036780e-01,4.738386897474758386e-01
1.723000000000000087e+00,-3.342806947368955339e-01,4.747001145622941065e-01
1.723999999999999977e+00,-3.333123932136169421e-01,4.755560111665004808e-01
1.725000000000000089e+00,-3.323452010802846468e-01,4.764063688806134400e-01
1.725999999999999979e+00,-3.313791854561842776e-01,4.772511776339695144e-01
1.727000000000000091e+00,-3.304144133473486677e-01,4.780904279593319872e-01
1.727999999999999980e+00,-3.294509516389942383e-01,4.789241109873883517e-01
1.729000000000000092e+00,-3.284888670880382056e-01,4.797522184411955326e-01
1.729999999999999982e+00,-3.275282263157031637e-01,4.805747426305276848e-01
1.731000000000000094e+00,-3.265690958001868927e-01,4.813916764461632081e-01
1.731999999999999984e+00,-3.256115418694174313e-01,4.822030133540932684e-01
1.733000000000000096e+00,-3.246556306938883085e-01,4.830087473896568784e-01
1.733999999999999986e+00,-3.237014282795712683e-01,4.838088731516110297e-01
1.735000000000000098e+00,-3.227490004609123719e-01,4.846033857961302704e-01
1.735999999999999988e+00,-3.217984128939085364e-01,4.853922810307442770e-01
1.737000000000000099e+00,-3.208497310492676169e-01,4.861755551082052040e-01
1.737999999999999989e+00,-3.199030202056476480e-01,4.869532048202976915e-01
1.739000000000000101e+00,-3.189583454429790743e-01,4.877252274915884200e-01
1.739999999999999991e+00,-3.180157716358799624e-01,4.884916209731179904e-01
1.741000000000000103e+00,-3.170753634471392135e-01,4.892523836360311851e-01
1.741999999999999993e+00,-3.161371853212963656e-01,4.900075143651563825e-01
1.743000000000000105e+00,-3.152013014783001665e-01,4.907570125525343441e-01
1.743999999999999995e+00,-3.142677759072521892e-01,4.915008780908913244e-01
1.745000000000000107e+00,-3.133366723602423187e-01,4.922391113670665508e-01
1.745999999999999996e+00,-3.124080543462580128e-01,4.929717132553850800e-01
1.747000000000000108e+00,-3.114819851251877658e-01,4.936986851109995689e-01
1.747999999999999998e+00,-3.105585277019104473e-01,4.944200287631754231e-01
1.749000000000000110e+00,-3.096377448204573057e-01,4.951357465085288734e-01
1.750000000000000000e+00,-3.087196989582874362e-01,4.958458411042550029e-01
1.751000000000000112e+00,-3.078044523206155958e-01,4.965503157612742857e-01
1.752000000000000002e+00,-3.068920668348527614e-01,4.972491741373766816e-01
1.753000000000000114e+00,-3.059826041451198519e-01,4.979424203303186580e-01
1.754000000000000004e+00,-3.050761256068514893e-01,4.986300588708855175e-01
1.755000000000000115e+00,-3.041726922814809164e-01,4.993120947159210843e-01
1.756000000000000005e+00,-3.032723649312258352e-01,4.999885332413412931e-01
1.757000000000000117e+00,-3.023752040139326414e-01,5.006593802350972622e-01
1.758000000000000007e+00,-3.014812696780447276e-01,5.013246418901439183e-01
1.759000000000000119e+00,-3.005906217576138628e-01,5.019843247973450051e-01
1.760000000000000009e+00,-2.997033197674334182e-01,5.026384359383931910e-01
1.761000000000000121e+00,-2.988194228982374856e-01,5.032869826786865453e-01
1.762000000000000011e+00,-2.979389900119863710e-01,5.039299727601924683e-01
1.763000000000000123e+00,-2.970620796372482886e-01,5.045674142942990770e-01
1.764000000000000012e+00,-2.961887499646489452e-01,5.051993157546417201e-01
1.765000000000000124e+00,-2.953190588424273733e-01,5.058256859699283847e-01
1.766000000000000014e+00,-2.944530637720481625e-01,5.064465341167347923e-01
1.767000000000000126e+00,-2.935908219039186084e-01,5.070618697123038254e-01
1.768000000000000016e+00,-2.927323900331926243e-01,5.076717026073382932e-01
1.769000000000000128e+00,-2.918778245956341055e-01,5.082760429787740453e-01
1.770000000000000018e+00,-2.910271816635813247e-01,5.088749013225497553e-01
1.771000000000000130e+00,-2.901805169419950925e-01,5.094682884463843653e-01
1.772000000000000020e+00,-2.893378857645805824e-01,5.100562154625447597e-01
1.773000000000000131e+00,-2.884993430899870370e-01,5.106386937806034476e-01
1.774000000000000021e+00,-2.876649434981016773e-01,5.112157351002151184e-01
1.775000000000000133e+00,-2.868347411864161089e-01,5.117873514038835392e-01
1.776000000000000023e+00,-2.860087899664662814e-01,5.123535549497313379e-01
1.777000000000000135e+00,-2.851871432603697576e-01,5.129143582642922139e-01
1.778000000000000025e+00,-2.843698540974186062e-01,5.134697741352778344e-01
1.779000000000000137e+00,-2.835569751107764880e-01,5.140198156043968014e-01
1.780000000000000027e+00,-2.827485585342239816e-01,5.145644959601356483e-01
1.781000000000000139e+00,-2.819446561990108790e-01,5.151038287305946817e-01
1.782000000000000028e+00,-2.811453195307647146e-01,5.156378276763123880e-01
1.783000000000000140e+00,-2.803505995464768974e-01,5.161665067831009424e-01
